Country,Latitude,Longitude,Oil Consumption,Oil Cost,Natural Gas Consumption,Natural Gas Cost,Coal Consumption,Coal Cost,Nuclear Energy Consumption,Nuclear Cost,Hydroelectric Consumption,Hydroelectic Cost,Renewable Consumption,Renewable Cost,,
Indonesia,-0.789275,113.921327,3.06,"$245,145,301.82",1.33,"$8,211,110,902.07",4.38,"$8,154,879,254.50",0.00,$0.00,0.26,"$10,247,291.33",0.74,"$37,060,946.32",,
Japan,36.204824,138.252924,6.61,"$528,746,490.48",3.62,"$22,293,741,615.73",4.92,"$9,153,795,465.43",0.47,"$23,315,037.79",0.70,"$28,113,131.52",1.53,"$76,501,161.51",,
Malaysia,4.210484,101.975766,1.73,"$138,138,256.07",1.78,"$10,954,491,294.13",0.94,"$1,746,561,845.47",0.00,$0.00,0.31,"$12,205,216.88",0.09,"$4,453,723.69",,
New Zealand,-40.900557,174.885971,0.30,"$24,113,206.86",0.13,"$803,397,151.62",0.05,"$85,255,822.87",0.00,$0.00,0.25,"$9,860,167.50",0.11,"$5,739,971.75",,
Pakistan,30.375321,69.345116,0.99,"$79,240,808.49",1.38,"$8,515,221,443.93",0.64,"$1,187,385,319.84",0.20,"$10,034,348.07",0.33,"$13,155,825.14",0.06,"$3,115,903.59",,
Philippines,12.879721,121.774017,0.89,"$71,543,993.95",0.11,"$683,326,557.89",0.84,"$1,562,143,162.39",0.00,$0.00,0.10,"$3,807,633.82",0.17,"$8,426,952.41",,
Singapore,1.3521,103.8198,2.66,"$212,711,791.99",0.47,"$2,896,984,635.41",0.02,"$32,272,814.48",0.00,$0.00,0.00,$0.00,0.02,"$889,699.07",,
South Korea,35.907757,127.766922,5.47,"$437,592,430.11",2.23,"$13,737,613,316.08",2.87,"$5,353,162,388.30",1.59,"$79,281,222.82",0.03,"$1,329,482.64",0.52,"$25,752,461.98",,
Sri Lanka,7.873054,80.771797,0.20,"$15,883,312.23",0.00,$0.00,0.06,"$113,663,777.88",0.00,$0.00,0.07,"$2,675,055.27",0.02,"$762,336.24",,
Taiwan,80.771797,120.960515,1.77,"$141,308,059.69",1.01,"$6,226,015,453.35",1.58,"$2,944,685,555.20",0.21,"$10,697,349.91",0.05,"$2,191,190.87",0.16,"$7,810,299.31",,
Thailand,15.870032,100.992541,2.39,"$190,848,026.28",1.60,"$9,831,164,040.79",0.71,"$1,324,337,860.10",0.00,$0.00,0.06,"$2,477,378.25",0.31,"$15,453,736.20",,
Vietnam,14.058324,108.277199,1.03,"$82,509,231.57",0.28,"$1,729,668,470.40",2.05,"$3,815,970,843.53",0.00,$0.00,0.90,"$36,024,796.96",0.33,"$16,357,783.97",,
